Question,Location Name,Answer,Count
Source of Income,Kigoma Municipal-Ujiji,Farming,1171.208770
Source of Income,Kigoma Municipal-Ujiji,Pension,111.592830
Source of Income,Kigoma Municipal-Ujiji,Formal wage,654.031120
Source of Income,Kigoma Municipal-Ujiji,Own business,1834.512950
Source of Income,Kigoma Municipal-Ujiji,Home maker,124.901480
Source of Income,Kigoma Municipal-Ujiji,None,143.048600
Source of Income,Kigoma Municipal-Ujiji,Casual wage,1396.727140
Source of Income,Kigoma Municipal-Ujiji,Transfers,182.878750
Source of Income,Hanang,Farming,8458.927620
Source of Income,Hanang,Pension,27.123800
Source of Income,Hanang,Formal wage,78.833330
Source of Income,Hanang,Own business,430.213560
Source of Income,Hanang,Home maker,25.315560
Source of Income,Hanang,None,119.518590
Source of Income,Hanang,Casual wage,264.544590
Source of Income,Hanang,Transfers,39.555550
Source of Income,Moshi,Farming,3562.872550
Source of Income,Moshi,Pension,46.651860
Source of Income,Moshi,Formal wage,272.986960
Source of Income,Moshi,Own business,689.824850
Source of Income,Moshi,Home maker,233.792650
Source of Income,Moshi,None,0.0
Source of Income,Moshi,Casual wage,385.558910
Source of Income,Moshi,Transfers,109.469850
Source of Income,Lindi Rural,Farming,5431.826170
Source of Income,Lindi Rural,Pension,0.0
Source of Income,Lindi Rural,Formal wage,76.239550
Source of Income,Lindi Rural,Own business,308.074970
Source of Income,Lindi Rural,Home maker,0.0
Source of Income,Lindi Rural,None,18.337500
Source of Income,Lindi Rural,Casual wage,157.566800
Source of Income,Lindi Rural,Transfers,47.813330
Source of Income,Morogoro Urban,Farming,1102.208810
Source of Income,Morogoro Urban,Pension,220.637990
Source of Income,Morogoro Urban,Formal wage,1164.307150
Source of Income,Morogoro Urban,Own business,2276.433990
Source of Income,Morogoro Urban,Home maker,130.647290
Source of Income,Morogoro Urban,None,0.0
Source of Income,Morogoro Urban,Casual wage,486.867710
Source of Income,Morogoro Urban,Transfers,196.973340
Source of Income,Korogwe Township Authority,Farming,3366.412040
Source of Income,Korogwe Township Authority,Pension,48.981170
Source of Income,Korogwe Township Authority,Formal wage,737.316950
Source of Income,Korogwe Township Authority,Own business,2216.851300
Source of Income,Korogwe Township Authority,Home maker,102.906600
Source of Income,Korogwe Township Authority,None,128.356030
Source of Income,Korogwe Township Authority,Casual wage,490.235120
Source of Income,Korogwe Township Authority,Transfers,208.349950
Source of Income,Chamwino,Farming,5336.785700
Source of Income,Chamwino,Pension,16.838610
Source of Income,Chamwino,Formal wage,87.897640
Source of Income,Chamwino,Own business,312.531830
Source of Income,Chamwino,Home maker,56.577800
Source of Income,Chamwino,None,93.380490
Source of Income,Chamwino,Casual wage,448.888000
Source of Income,Chamwino,Transfers,18.714180
Source of Income,Rombo,Farming,4570.264410
Source of Income,Rombo,Pension,19.714290
Source of Income,Rombo,Formal wage,160.878260
Source of Income,Rombo,Own business,575.477940
Source of Income,Rombo,Home maker,47.623500
Source of Income,Rombo,None,57.324110
Source of Income,Rombo,Casual wage,425.545060
Source of Income,Rombo,Transfers,18.838090
Source of Income,Musoma Municipal,Farming,1123.987100
Source of Income,Musoma Municipal,Pension,349.512280
Source of Income,Musoma Municipal,Formal wage,791.335540
Source of Income,Musoma Municipal,Own business,5118.611440
Source of Income,Musoma Municipal,Home maker,140.527740
Source of Income,Musoma Municipal,None,0.0
Source of Income,Musoma Municipal,Casual wage,2171.451380
Source of Income,Musoma Municipal,Transfers,318.615150
Source of Income,Makete,Farming,4501.262400
Source of Income,Makete,Pension,0.0
Source of Income,Makete,Formal wage,166.495060
Source of Income,Makete,Own business,350.628920
Source of Income,Makete,Home maker,0.0
Source of Income,Makete,None,0.0
Source of Income,Makete,Casual wage,401.463720
Source of Income,Makete,Transfers,126.449810
Source of Income,Uyui,Farming,6804.016170
Source of Income,Uyui,Pension,0.0
Source of Income,Uyui,Formal wage,61.640120
Source of Income,Uyui,Own business,323.484160
Source of Income,Uyui,Home maker,80.177310
Source of Income,Uyui,None,46.448250
Source of Income,Uyui,Casual wage,163.845420
Source of Income,Uyui,Transfers,0.0
Source of Income,Serengeti,Farming,7885.831290
Source of Income,Serengeti,Pension,67.928400
Source of Income,Serengeti,Formal wage,393.228930
Source of Income,Serengeti,Own business,474.024990
Source of Income,Serengeti,Home maker,315.749210
Source of Income,Serengeti,None,56.984160
Source of Income,Serengeti,Casual wage,347.855690
Source of Income,Serengeti,Transfers,77.034120
Source of Income,Mwanga,Farming,3460.561340
Source of Income,Mwanga,Pension,25.323550
Source of Income,Mwanga,Formal wage,154.810290
Source of Income,Mwanga,Own business,1187.212720
Source of Income,Mwanga,Home maker,47.670440
Source of Income,Mwanga,None,80.172680
Source of Income,Mwanga,Casual wage,713.919610
Source of Income,Mwanga,Transfers,243.718800
Source of Income,Makambako Township Authority,Farming,4011.089360
Source of Income,Makambako Township Authority,Pension,29.142870
Source of Income,Makambako Township Authority,Formal wage,208.194740
Source of Income,Makambako Township Authority,Own business,1591.614410
Source of Income,Makambako Township Authority,Home maker,29.466660
Source of Income,Makambako Township Authority,None,31.517450
Source of Income,Makambako Township Authority,Casual wage,147.693270
Source of Income,Makambako Township Authority,Transfers,73.622490
Source of Income,Mbogwe,Farming,10051.035370
Source of Income,Mbogwe,Pension,22.239360
Source of Income,Mbogwe,Formal wage,217.630010
Source of Income,Mbogwe,Own business,1040.987350
Source of Income,Mbogwe,Home maker,37.806900
Source of Income,Mbogwe,None,34.795330
Source of Income,Mbogwe,Casual wage,232.123280
Source of Income,Mbogwe,Transfers,82.285620
Source of Income,Magu,Farming,8871.386380
Source of Income,Magu,Pension,0.0
Source of Income,Magu,Formal wage,70.679580
Source of Income,Magu,Own business,1351.499070
Source of Income,Magu,Home maker,46.200000
Source of Income,Magu,None,16.683340
Source of Income,Magu,Casual wage,386.058770
Source of Income,Magu,Transfers,88.977640
Source of Income,Ngorongoro,Farming,7138.277190
