Question,Location Name,Answer,Count
Ability in English,ABIM,Competent,5563.870820
Ability in English,ABIM,Not Competent,26185.752070
Ability in English,ADJUMANI,Competent,16903.132000
Ability in English,ADJUMANI,Not Competent,67050.990630
Ability in English,AGAGO,Competent,16004.681900
Ability in English,AGAGO,Not Competent,62381.959700
Ability in English,ALEBTONG,Competent,11367.840990
Ability in English,ALEBTONG,Not Competent,69117.920770
Ability in English,AMOLATAR,Competent,6537.174920
Ability in English,AMOLATAR,Not Competent,45962.959750
Ability in English,AMUDAT,Competent,3946.303520
Ability in English,AMUDAT,Not Competent,22876.378310
Ability in English,AMURIA,Competent,18373.428140
Ability in English,AMURIA,Not Competent,75515.756120
Ability in English,AMURU,Competent,11548.392370
Ability in English,AMURU,Not Competent,65039.439640
Ability in English,APAC,Competent,21254.751300
Ability in English,APAC,Not Competent,113470.501000
Ability in English,ARUA,Competent,50529.078300
Ability in English,ARUA,Not Competent,230668.344100
Ability in English,BUDAKA,Competent,14074.237290
Ability in English,BUDAKA,Not Competent,69565.742530
Ability in English,BUDUDA,Competent,13757.392040
Ability in English,BUDUDA,Not Competent,55908.797940
Ability in English,BUGIRI,Competent,19332.116500
Ability in English,BUGIRI,Not Competent,120865.718100
Ability in English,BUIKWE,Competent,49069.273800
Ability in English,BUIKWE,Not Competent,130901.161200
Ability in English,BUKEDEA,Competent,14307.489810
Ability in English,BUKEDEA,Not Competent,56283.141710
Ability in English,BUKOMANSIMBI,Competent,18187.026350
Ability in English,BUKOMANSIMBI,Not Competent,46388.963540
Ability in English,BULAMBULI,Competent,9802.960120
Ability in English,BULAMBULI,Not Competent,47851.413540
Ability in English,BULIISA,Competent,7553.425250
Ability in English,BULIISA,Not Competent,30509.841840
Ability in English,BUNDIBUGYO,Competent,15381.910070
Ability in English,BUNDIBUGYO,Not Competent,56402.533930
Ability in English,BUSHENYI,Competent,26949.666450
Ability in English,BUSHENYI,Not Competent,48418.333250
Ability in English,BUSIA,Competent,28533.612200
Ability in English,BUSIA,Not Competent,100239.017300
Ability in English,BUTALEJA,Competent,17722.696900
Ability in English,BUTALEJA,Not Competent,64186.209430
Ability in English,BUTAMBALA,Competent,10731.378580
Ability in English,BUTAMBALA,Not Competent,29670.629720
Ability in English,BUVUMA,Competent,4518.830450
Ability in English,BUVUMA,Not Competent,26663.187430
Ability in English,BUYENDE,Competent,16073.283700
Ability in English,BUYENDE,Not Competent,102757.279800
Ability in English,DOKOLO,Competent,7499.553120
Ability in English,DOKOLO,Not Competent,52023.177240
Ability in English,GOMBA,Competent,14170.965290
Ability in English,GOMBA,Not Competent,47092.133690
Ability in English,GULU,Competent,40800.859700
Ability in English,GULU,Not Competent,125663.703100
Ability in English,HOIMA,Competent,52821.014700
Ability in English,HOIMA,Not Competent,163016.580500
Ability in English,IBANDA,Competent,28281.659360
Ability in English,IBANDA,Not Competent,58367.677990
Ability in English,IGANGA,Competent,49940.013600
Ability in English,IGANGA,Not Competent,147174.460900
Ability in English,ISINGIRO,Competent,69524.319500
Ability in English,ISINGIRO,Not Competent,116381.990500
Ability in English,JINJA,Competent,48654.897800
Ability in English,JINJA,Not Competent,120065.569600
Ability in English,KAABONG,Competent,6018.971220
Ability in English,KAABONG,Not Competent,44905.428670
Ability in English,KABALE,Competent,71134.046100
Ability in English,KABALE,Not Competent,108583.724400
Ability in English,KABAROLE,Competent,70070.651500
Ability in English,KABAROLE,Not Competent,124953.148500
Ability in English,KABERAMAIDO,Competent,12342.724590
Ability in English,KABERAMAIDO,Not Competent,63245.203980
Ability in English,KALANGALA,Competent,5810.695180
Ability in English,KALANGALA,Not Competent,12175.129830
Ability in English,KALIRO,Competent,13205.431320
Ability in English,KALIRO,Not Competent,67460.166700
Ability in English,KALUNGU,Competent,27686.787450
Ability in English,KALUNGU,Not Competent,53287.794150
Ability in English,KAMPALA,Competent,324002.927800
Ability in English,KAMPALA,Not Competent,372339.663200
Ability in English,KAMULI,Competent,36239.088400
Ability in English,KAMULI,Not Competent,148748.732400
Ability in English,KAMWENGE,Competent,34380.790300
Ability in English,KAMWENGE,Not Competent,116208.819500
Ability in English,KANUNGU,Competent,27021.972680
Ability in English,KANUNGU,Not Competent,68520.759590
Ability in English,KAPCHORWA,Competent,8624.679790
Ability in English,KAPCHORWA,Not Competent,30716.293670
Ability in English,KASESE,Competent,63377.746700
Ability in English,KASESE,Not Competent,213710.551600
Ability in English,KATAKWI,Competent,8613.818830
Ability in English,KATAKWI,Not Competent,52016.077190
Ability in English,KAYUNGA,Competent,35798.952100
Ability in English,KAYUNGA,Not Competent,122258.311700
Ability in English,KIBAALE,Competent,71487.104400
Ability in English,KIBAALE,Not Competent,237660.670100
Ability in English,KIBOGA,Competent,15988.024720
Ability in English,KIBOGA,Not Competent,45882.245030
Ability in English,KIBUKU,Competent,10645.585050
Ability in English,KIBUKU,Not Competent,60178.277650
Ability in English,KIRUHURA,Competent,42672.670400
Ability in English,KIRUHURA,Not Competent,81793.567900
Ability in English,KIRYANDONGO,Competent,23248.672020
Ability in English,KIRYANDONGO,Not Competent,87290.567840
Ability in English,KISORO,Competent,30337.920200
Ability in English,KISORO,Not Competent,70116.443200
Ability in English,KITGUM,Competent,18033.456670
Ability in English,KITGUM,Not Competent,62683.179230
Ability in English,KOBOKO,Competent,6023.603620
Ability in English,KOBOKO,Not Competent,50727.775150
Ability in English,KOLE,Competent,12954.567990
Ability in English,KOLE,Not Competent,64350.937800
Ability in English,KOTIDO,Competent,2295.742610
Ability in English,KOTIDO,Not Competent,34189.466770
Ability in English,KUMI,Competent,23511.675540
Ability in English,KUMI,Not Competent,78806.304430
Ability in English,KWEEN,Competent,6707.858960
Ability in English,KWEEN,Not Competent,21784.090680
Ability in English,KYANKWANZI,Competent,16924.437240
Ability in English,KYANKWANZI,Not Competent,68746.247100
Ability in English,KYEGEGWA,Competent,24297.562130
Ability in English,KYEGEGWA,Not Competent,76193.032310
Ability in English,KYENJOJO,Competent,47581.472700
Ability in English,KYENJOJO,Not Competent,114898.354700
Ability in English,LAMWO,Competent,10967.916060
Ability in English,LAMWO,Not Competent,42311.974810
Ability in English,LIRA,Competent,36602.608500
Ability in English,LIRA,Not Competent,125726.789100
Ability in English,LUUKA,Competent,19415.528870
Ability in English,LUUKA,Not Competent,75433.745390
Ability in English,LWENGO,Competent,32332.392900
Ability in English,LWENGO,Not Competent,79920.259200
Ability in English,LYANTONDE,Competent,12827.626400
Ability in English,LYANTONDE,Not Competent,25115.823410
Ability in English,MANAFWA,Competent,41218.068200
Ability in English,MANAFWA,Not Competent,91366.799800
Ability in English,MARACHA,Competent,11612.402550
Ability in English,MARACHA,Not Competent,58949.860310
Ability in English,MASAKA,Competent,55107.438300
Ability in English,MASAKA,Not Competent,73474.442100
Ability in English,MASINDI,Competent,38018.856800
Ability in English,MASINDI,Not Competent,70843.685600
Ability in English,MAYUGE,Competent,33449.301600
Ability in English,MAYUGE,Not Competent,164999.374200
Ability in English,MBALE,Competent,52885.031900
Ability in English,MBALE,Not Competent,146110.481200
Ability in English,MBARARA,Competent,81641.125700
Ability in English,MBARARA,Not Competent,87947.612000
Ability in English,MITOOMA,Competent,26438.350590
Ability in English,MITOOMA,Not Competent,45655.667940
Ability in English,MITYANA,Competent,37385.118300
Ability in English,MITYANA,Not Competent,98313.807200
Ability in English,MOROTO,Competent,2636.174260
Ability in English,MOROTO,Not Competent,30930.124000
Ability in English,MOYO,Competent,10176.330590
Ability in English,MOYO,Not Competent,40181.430180
Ability in English,MPIGI,Competent,34274.781700
