Question,Location Code,Location Name,Answer,Count
House Wall Material,233,Malampaka,Iron sheet,2
House Wall Material,233,Malampaka,Mud,35
House Wall Material,233,Malampaka,,0
House Wall Material,233,Malampaka,Timber,0
House Wall Material,233,Malampaka,Stone/Bricks,85
House Wall Material,233,Malampaka,Polythene,0
House Wall Material,132,Makoko,Iron sheet,36
House Wall Material,132,Makoko,Mud,173
House Wall Material,132,Makoko,,22
House Wall Material,132,Makoko,Timber,6
House Wall Material,132,Makoko,Stone/Bricks,399
House Wall Material,132,Makoko,Polythene,6
House Wall Material,322,Ibighi,Iron sheet,0
House Wall Material,322,Ibighi,Mud,0
House Wall Material,322,Ibighi,,0
House Wall Material,322,Ibighi,Timber,0
House Wall Material,322,Ibighi,Stone/Bricks,25
House Wall Material,322,Ibighi,Polythene,0
House Wall Material,131,Bukandwe,Iron sheet,338
House Wall Material,131,Bukandwe,Mud,4061
House Wall Material,131,Bukandwe,,36
House Wall Material,131,Bukandwe,Timber,26
House Wall Material,131,Bukandwe,Stone/Bricks,1538
House Wall Material,131,Bukandwe,Polythene,3
House Wall Material,391,Ibuga,Iron sheet,0
House Wall Material,391,Ibuga,Mud,0
House Wall Material,391,Ibuga,,0
House Wall Material,391,Ibuga,Timber,4
House Wall Material,391,Ibuga,Stone/Bricks,23
House Wall Material,391,Ibuga,Polythene,0
House Wall Material,301,Nyakagomba,Iron sheet,35
House Wall Material,301,Nyakagomba,Mud,223
House Wall Material,301,Nyakagomba,,0
House Wall Material,301,Nyakagomba,Timber,0
House Wall Material,301,Nyakagomba,Stone/Bricks,167
House Wall Material,301,Nyakagomba,Polythene,0
House Wall Material,211,Mwanghonoli,Iron sheet,123
House Wall Material,211,Mwanghonoli,Mud,2062
House Wall Material,211,Mwanghonoli,,53
House Wall Material,211,Mwanghonoli,Timber,3
House Wall Material,211,Mwanghonoli,Stone/Bricks,683
House Wall Material,211,Mwanghonoli,Polythene,3
House Wall Material,221,Bwera,Iron sheet,13
House Wall Material,221,Bwera,Mud,1484
House Wall Material,221,Bwera,,15
House Wall Material,221,Bwera,Timber,0
House Wall Material,221,Bwera,Stone/Bricks,667
House Wall Material,221,Bwera,Polythene,0
House Wall Material,271,Busanda,Iron sheet,40
House Wall Material,271,Busanda,Mud,528
House Wall Material,271,Busanda,,0
House Wall Material,271,Busanda,Timber,0
House Wall Material,271,Busanda,Stone/Bricks,335
House Wall Material,271,Busanda,Polythene,0
House Wall Material,071,Butinzya,Iron sheet,429
House Wall Material,071,Butinzya,Mud,4082
House Wall Material,071,Butinzya,,36
House Wall Material,071,Butinzya,Timber,7
House Wall Material,071,Butinzya,Stone/Bricks,3138
House Wall Material,071,Butinzya,Polythene,26
House Wall Material,293,Kiwira,Iron sheet,0
House Wall Material,293,Kiwira,Mud,32
House Wall Material,293,Kiwira,,0
House Wall Material,293,Kiwira,Timber,0
House Wall Material,293,Kiwira,Stone/Bricks,56
House Wall Material,293,Kiwira,Polythene,0
House Wall Material,083,Lamadi,Iron sheet,126
House Wall Material,083,Lamadi,Mud,778
House Wall Material,083,Lamadi,,24
House Wall Material,083,Lamadi,Timber,22
House Wall Material,083,Lamadi,Stone/Bricks,977
House Wall Material,083,Lamadi,Polythene,2
House Wall Material,372,Ipagala,Iron sheet,0
House Wall Material,372,Ipagala,Mud,0
House Wall Material,372,Ipagala,,0
House Wall Material,372,Ipagala,Timber,0
House Wall Material,372,Ipagala,Stone/Bricks,23
House Wall Material,372,Ipagala,Polythene,0
House Wall Material,043,Uyovu,Iron sheet,34
House Wall Material,043,Uyovu,Mud,745
House Wall Material,043,Uyovu,,43
House Wall Material,043,Uyovu,Timber,0
House Wall Material,043,Uyovu,Stone/Bricks,991
House Wall Material,043,Uyovu,Polythene,5
House Wall Material,183,Buseresere,Iron sheet,27
House Wall Material,183,Buseresere,Mud,516
House Wall Material,183,Buseresere,,16
House Wall Material,183,Buseresere,Timber,0
House Wall Material,183,Buseresere,Stone/Bricks,520
House Wall Material,183,Buseresere,Polythene,0
House Wall Material,161,Nyarutembo,Iron sheet,248
House Wall Material,161,Nyarutembo,Mud,2585
House Wall Material,161,Nyarutembo,,26
House Wall Material,161,Nyarutembo,Timber,235
House Wall Material,161,Nyarutembo,Stone/Bricks,1274
House Wall Material,161,Nyarutembo,Polythene,31
House Wall Material,232,Sabasaba,Iron sheet,0
House Wall Material,232,Sabasaba,Mud,11
House Wall Material,232,Sabasaba,,0
House Wall Material,232,Sabasaba,Timber,0
House Wall Material,232,Sabasaba,Stone/Bricks,156
House Wall Material,232,Sabasaba,Polythene,0
House Wall Material,051,Busonzo,Iron sheet,405
House Wall Material,051,Busonzo,Mud,3946
House Wall Material,051,Busonzo,,62
House Wall Material,051,Busonzo,Timber,13
House Wall Material,051,Busonzo,Stone/Bricks,2447
House Wall Material,051,Busonzo,Polythene,13
House Wall Material,021,Bwongera,Iron sheet,338
House Wall Material,021,Bwongera,Mud,4732
House Wall Material,021,Bwongera,,52
House Wall Material,021,Bwongera,Timber,44
House Wall Material,021,Bwongera,Stone/Bricks,2328
House Wall Material,021,Bwongera,Polythene,11
House Wall Material,331,Kishinda,Iron sheet,0
House Wall Material,331,Kishinda,Mud,83
House Wall Material,331,Kishinda,,0
House Wall Material,331,Kishinda,Timber,0
House Wall Material,331,Kishinda,Stone/Bricks,51
House Wall Material,331,Kishinda,Polythene,0
House Wall Material,353,Nakayaya,Iron sheet,0
House Wall Material,353,Nakayaya,Mud,14
House Wall Material,353,Nakayaya,,0
House Wall Material,353,Nakayaya,Timber,0
House Wall Material,353,Nakayaya,Stone/Bricks,81
House Wall Material,353,Nakayaya,Polythene,0
House Wall Material,061,Kachwamba,Iron sheet,448
House Wall Material,061,Kachwamba,Mud,5721
House Wall Material,061,Kachwamba,,64
House Wall Material,061,Kachwamba,Timber,43
House Wall Material,061,Kachwamba,Stone/Bricks,3021
House Wall Material,061,Kachwamba,Polythene,48
House Wall Material,113,Bwina,Iron sheet,113
House Wall Material,113,Bwina,Mud,755
House Wall Material,113,Bwina,,10
House Wall Material,113,Bwina,Timber,9
House Wall Material,113,Bwina,Stone/Bricks,656
House Wall Material,113,Bwina,Polythene,6
House Wall Material,292,Makongolosi,Iron sheet,6
House Wall Material,292,Makongolosi,Mud,36
House Wall Material,292,Makongolosi,,0
House Wall Material,292,Makongolosi,Timber,0
House Wall Material,292,Makongolosi,Stone/Bricks,50
House Wall Material,292,Makongolosi,Polythene,0
House Wall Material,362,Msasani,Iron sheet,1
House Wall Material,362,Msasani,Mud,0
House Wall Material,362,Msasani,,0
House Wall Material,362,Msasani,Timber,0
House Wall Material,362,Msasani,Stone/Bricks,20
House Wall Material,362,Msasani,Polythene,0
House Wall Material,192,Katubuka,Iron sheet,0
House Wall Material,192,Katubuka,Mud,94
House Wall Material,192,Katubuka,,5
House Wall Material,192,Katubuka,Timber,3
House Wall Material,192,Katubuka,Stone/Bricks,625
House Wall Material,192,Katubuka,Polythene,0
House Wall Material,351,Kashasha,Iron sheet,0
House Wall Material,351,Kashasha,Mud,90
House Wall Material,351,Kashasha,,0
House Wall Material,351,Kashasha,Timber,0
House Wall Material,351,Kashasha,Stone/Bricks,19
House Wall Material,351,Kashasha,Polythene,0
House Wall Material,341,Mtakuja,Iron sheet,0
House Wall Material,341,Mtakuja,Mud,148
House Wall Material,341,Mtakuja,,0
House Wall Material,341,Mtakuja,Timber,0
House Wall Material,341,Mtakuja,Stone/Bricks,106
House Wall Material,341,Mtakuja,Polythene,0
House Wall Material,253,Nyalikungu,Iron sheet,0
House Wall Material,253,Nyalikungu,Mud,64
House Wall Material,253,Nyalikungu,,0
House Wall Material,253,Nyalikungu,Timber,0
House Wall Material,253,Nyalikungu,Stone/Bricks,159
House Wall Material,253,Nyalikungu,Polythene,0
House Wall Material,223,Nsalala,Iron sheet,0
House Wall Material,223,Nsalala,Mud,62
House Wall Material,223,Nsalala,,0
House Wall Material,223,Nsalala,Timber,0
House Wall Material,223,Nsalala,Stone/Bricks,140
House Wall Material,223,Nsalala,Polythene,0
House Wall Material,013,Muganza,Iron sheet,26
House Wall Material,013,Muganza,Mud,1300
House Wall Material,013,Muganza,,63
House Wall Material,013,Muganza,Timber,0
House Wall Material,013,Muganza,Stone/Bricks,1133
House Wall Material,013,Muganza,Polythene,4
House Wall Material,261,Geitasamo,Iron sheet,24
House Wall Material,261,Geitasamo,Mud,1309
House Wall Material,261,Geitasamo,,14
House Wall Material,261,Geitasamo,Timber,10
House Wall Material,261,Geitasamo,Stone/Bricks,298
House Wall Material,261,Geitasamo,Polythene,0
House Wall Material,242,Nyamisangura,Iron sheet,0
House Wall Material,242,Nyamisangura,Mud,0
House Wall Material,242,Nyamisangura,,4
House Wall Material,242,Nyamisangura,Timber,0
House Wall Material,242,Nyamisangura,Stone/Bricks,127
House Wall Material,242,Nyamisangura,Polythene,0
House Wall Material,383,Kwemshasha,Iron sheet,0
House Wall Material,383,Kwemshasha,Mud,25
House Wall Material,383,Kwemshasha,,0
House Wall Material,383,Kwemshasha,Timber,0
House Wall Material,383,Kwemshasha,Stone/Bricks,14
House Wall Material,383,Kwemshasha,Polythene,0
House Wall Material,252,Ayamohe,Iron sheet,15
House Wall Material,252,Ayamohe,Mud,187
House Wall Material,252,Ayamohe,,2
House Wall Material,252,Ayamohe,Timber,0
House Wall Material,252,Ayamohe,Stone/Bricks,282
House Wall Material,252,Ayamohe,Polythene,0
House Wall Material,272,Iyunga,Iron sheet,0
House Wall Material,272,Iyunga,Mud,9
House Wall Material,272,Iyunga,,0
House Wall Material,272,Iyunga,Timber,0
House Wall Material,272,Iyunga,Stone/Bricks,190
House Wall Material,272,Iyunga,Polythene,0
House Wall Material,263,Nyasura,Iron sheet,0
House Wall Material,263,Nyasura,Mud,46
House Wall Material,263,Nyasura,,0
House Wall Material,263,Nyasura,Timber,0
House Wall Material,263,Nyasura,Stone/Bricks,121
House Wall Material,263,Nyasura,Polythene,0
House Wall Material,063,Kabita,Iron sheet,31
House Wall Material,063,Kabita,Mud,821
