Question,Location,Round,Answer,Count
What is the top thing that you need information about?,Kavrepalanchok,1,How to get healthcare psychosocial support,4
What is the top thing that you need information about?,Kavrepalanchok,1,How to replace personal documentation,3
What is the top thing that you need information about?,Kavrepalanchok,1,NA,18
What is the top thing that you need information about?,Kavrepalanchok,1,How to get shelter materials,8
What is the top thing that you need information about?,Kavrepalanchok,1,News about government decisions,42
What is the top thing that you need information about?,Kavrepalanchok,1,How to register for access support,18
What is the top thing that you need information about?,Kavrepalanchok,1,Others,1
What is the top thing that you need information about?,Kavrepalanchok,1,Finding missing people,5
What is the top thing that you need information about?,Kavrepalanchok,3,How to get healthcare psychosocial support,10
What is the top thing that you need information about?,Kavrepalanchok,3,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,3,NA,17
What is the top thing that you need information about?,Kavrepalanchok,3,How to get shelter materials,7
What is the top thing that you need information about?,Kavrepalanchok,3,News about government decisions,49
What is the top thing that you need information about?,Kavrepalanchok,3,How to register for access support,5
What is the top thing that you need information about?,Kavrepalanchok,3,Others,0
What is the top thing that you need information about?,Kavrepalanchok,3,Finding missing people,12
What is the top thing that you need information about?,Kavrepalanchok,2,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Kavrepalanchok,2,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,2,NA,25
What is the top thing that you need information about?,Kavrepalanchok,2,How to get shelter materials,3
What is the top thing that you need information about?,Kavrepalanchok,2,News about government decisions,45
What is the top thing that you need information about?,Kavrepalanchok,2,How to register for access support,17
What is the top thing that you need information about?,Kavrepalanchok,2,Others,0
What is the top thing that you need information about?,Kavrepalanchok,2,Finding missing people,8
What is the top thing that you need information about?,Kavrepalanchok,5,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Kavrepalanchok,5,How to replace personal documentation,3
What is the top thing that you need information about?,Kavrepalanchok,5,NA,21
What is the top thing that you need information about?,Kavrepalanchok,5,How to get shelter materials,7
What is the top thing that you need information about?,Kavrepalanchok,5,News about government decisions,56
What is the top thing that you need information about?,Kavrepalanchok,5,How to register for access support,4
What is the top thing that you need information about?,Kavrepalanchok,5,Others,0
What is the top thing that you need information about?,Kavrepalanchok,5,Finding missing people,8
What is the top thing that you need information about?,Kavrepalanchok,4,How to get healthcare psychosocial support,12
What is the top thing that you need information about?,Kavrepalanchok,4,How to replace personal documentation,0
What is the top thing that you need information about?,Kavrepalanchok,4,NA,21
What is the top thing that you need information about?,Kavrepalanchok,4,How to get shelter materials,8
What is the top thing that you need information about?,Kavrepalanchok,4,News about government decisions,52
What is the top thing that you need information about?,Kavrepalanchok,4,How to register for access support,3
What is the top thing that you need information about?,Kavrepalanchok,4,Others,0
What is the top thing that you need information about?,Kavrepalanchok,4,Finding missing people,4
What is the top thing that you need information about?,Kavrepalanchok,6,How to get healthcare psychosocial support,3
What is the top thing that you need information about?,Kavrepalanchok,6,How to replace personal documentation,1
What is the top thing that you need information about?,Kavrepalanchok,6,NA,27
What is the top thing that you need information about?,Kavrepalanchok,6,How to get shelter materials,5
What is the top thing that you need information about?,Kavrepalanchok,6,News about government decisions,56
What is the top thing that you need information about?,Kavrepalanchok,6,How to register for access support,5
What is the top thing that you need information about?,Kavrepalanchok,6,Others,0
What is the top thing that you need information about?,Kavrepalanchok,6,Finding missing people,3
What is the top thing that you need information about?,Dolakha,1,How to get healthcare psychosocial support,4
What is the top thing that you need information about?,Dolakha,1,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,1,NA,23
What is the top thing that you need information about?,Dolakha,1,How to get shelter materials,20
What is the top thing that you need information about?,Dolakha,1,News about government decisions,47
What is the top thing that you need information about?,Dolakha,1,How to register for access support,7
What is the top thing that you need information about?,Dolakha,1,Others,0
What is the top thing that you need information about?,Dolakha,1,Finding missing people,0
What is the top thing that you need information about?,Dolakha,3,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Dolakha,3,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,3,NA,13
What is the top thing that you need information about?,Dolakha,3,How to get shelter materials,13
What is the top thing that you need information about?,Dolakha,3,News about government decisions,61
What is the top thing that you need information about?,Dolakha,3,How to register for access support,12
What is the top thing that you need information about?,Dolakha,3,Others,0
What is the top thing that you need information about?,Dolakha,3,Finding missing people,0
What is the top thing that you need information about?,Dolakha,2,How to get healthcare psychosocial support,4
What is the top thing that you need information about?,Dolakha,2,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,2,NA,19
What is the top thing that you need information about?,Dolakha,2,How to get shelter materials,10
What is the top thing that you need information about?,Dolakha,2,News about government decisions,54
What is the top thing that you need information about?,Dolakha,2,How to register for access support,10
What is the top thing that you need information about?,Dolakha,2,Others,3
What is the top thing that you need information about?,Dolakha,2,Finding missing people,1
What is the top thing that you need information about?,Dolakha,5,How to get healthcare psychosocial support,5
What is the top thing that you need information about?,Dolakha,5,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,5,NA,35
What is the top thing that you need information about?,Dolakha,5,How to get shelter materials,23
What is the top thing that you need information about?,Dolakha,5,News about government decisions,26
What is the top thing that you need information about?,Dolakha,5,How to register for access support,11
What is the top thing that you need information about?,Dolakha,5,Others,0
What is the top thing that you need information about?,Dolakha,5,Finding missing people,0
What is the top thing that you need information about?,Dolakha,4,How to get healthcare psychosocial support,5
What is the top thing that you need information about?,Dolakha,4,How to replace personal documentation,2
What is the top thing that you need information about?,Dolakha,4,NA,20
What is the top thing that you need information about?,Dolakha,4,How to get shelter materials,29
What is the top thing that you need information about?,Dolakha,4,News about government decisions,34
What is the top thing that you need information about?,Dolakha,4,How to register for access support,10
What is the top thing that you need information about?,Dolakha,4,Others,0
What is the top thing that you need information about?,Dolakha,4,Finding missing people,0
What is the top thing that you need information about?,Dolakha,6,How to get healthcare psychosocial support,6
